,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
Cumberland County,1,0,0,0,0,0,0,0,1,,
Custer,1,0,0,0,0,0,0,0,1,0,
Cynthiana,1,0,0,0,0,0,0,0,1,0,"6,375"
Dallas,2,0,12,0,0,0,1,1,2,10,"1,338,551"
Daly City,0,0,1,0,0,0,0,0,1,0,"107,355"
Danbury,4,0,1,0,0,0,2,2,1,0,"85,614"
Danvers,0,2,0,1,0,0,0,1,0,2,"28,168"
Danville,3,0,0,0,0,0,0,1,1,1,"16,891"
Darien,1,0,0,0,0,0,0,1,0,0,"21,910"
Darrington,1,0,0,0,0,0,1,0,0,0,"1,391"
Davie,4,3,0,0,0,0,3,1,1,2,"103,555"
Daviess,1,0,0,0,0,0,0,0,0,1,
Davis,4,3,0,0,0,0,2,4,0,1,"68,540"
Davis,0,0,1,0,0,0,0,0,0,1,
Dayton,2,0,0,0,0,0,0,1,0,1,"5,423"
Dayton,1,0,1,0,0,0,0,1,1,0,"140,171"
De Kalb,0,1,0,0,0,0,0,0,0,1,"43,043"
Deal,0,2,0,0,0,0,0,2,0,0,730
Dean College,1,0,0,0,0,0,0,1,0,0,"1,339"
